tweet,mooi,0.003009347,0.002958729,0.003369208,0.003054167,0.002726377,0.00290488,0.003016567,0.002518302,0.003332451,0.00333428,0.003158797,0.003288446
tweet,kampen,1.60E-04,0.00118366,0.002266697,2.46E-04,1.28E-04,1.66E-04,1.58E-04,8.76E-05,3.57E-04,3.83E-04,1.80E-04,2.28E-04
tweet,dronten,5.19E-05,0.004992833,3.54E-04,9.02E-05,7.48E-05,1.37E-04,1.18E-04,3.46E-06,1.43E-04,1.13E-04,4.93E-05,8.06E-05
description,nijmegen,3.93E-05,5.61E-06,4.93E-05,7.20E-06,3.72E-05,2.88E-06,1.13E-05,2.85E-05,1.11E-05,9.53E-04,1.52E-05,2.30E-05
tweet,noord,0.001287905,0.001032195,8.96E-04,0.002514741,9.56E-04,0.002842689,0.001536625,0.001221402,0.001822661,9.06E-04,0.001081194,0.001099386
tweet,zoetermeer,7.84E-05,1.53E-04,8.38E-05,1.89E-04,1.28E-04,1.08E-04,8.01E-05,3.03E-05,1.69E-04,1.16E-04,0.001545062,2.14E-04
hashtag,zeeland,1.83E-04,1.23E-04,9.80E-05,6.43E-05,0.005101957,8.29E-05,2.15E-05,4.04E-05,4.53E-05,6.14E-05,9.50E-05,1.08E-04
description,drenthe,1.09E-06,2.97E-05,1.63E-05,8.11E-06,9.22E-06,2.19E-04,3.34E-05,3.46E-06,0.002128192,1.25E-05,2.85E-06,1.30E-06
tweet,oss,0.001908677,1.07E-04,2.05E-04,1.37E-04,8.47E-05,5.58E-05,1.43E-04,3.62E-04,1.14E-04,4.43E-04,1.82E-04,1.52E-04
description,eindhoven,9.16E-04,1.98E-05,2.76E-05,1.67E-05,9.44E-05,3.12E-05,3.33E-05,2.22E-04,1.56E-05,3.42E-05,2.75E-05,1.78E-05
description,almere,1.09E-06,0.002781703,1.62E-05,2.79E-05,9.22E-06,2.88E-06,1.24E-05,3.46E-06,4.61E-06,1.24E-05,1.18E-05,8.33E-06
hashtag,omroepbrabant,0.00142872,5.61E-06,2.92E-05,5.92E-06,6.63E-05,2.68E-05,5.27E-05,1.44E-05,1.42E-05,4.04E-05,1.77E-05,2.12E-05
hashtag,ijzel,3.89E-05,6.16E-05,2.21E-04,2.21E-05,5.29E-05,0.00120535,7.52E-04,5.62E-05,9.22E-04,9.43E-05,3.77E-05,5.23E-05
hashtag,haarlem,4.38E-05,7.57E-05,6.31E-05,0.00113466,9.22E-06,7.61E-05,1.01E-04,2.76E-05,3.54E-05,8.07E-05,1.18E-04,9.25E-05
